52,"Our Saviour Institute of Science, Agriculture & Technology, Enugu,
P.M.B. 01161, Enugu, Enugu State.",,,1989/1991♦
53,"Paramount Polytechnic
44 Ofoshin Road
Ekigbo – Lagos State",,,2022
54,"Prime Polytechnic, Jida Bassa, Ajaokuta,
Kogi State.
primepolytechnic@gmail.com
primepolytechnic@yahoo.com",,,2015
55,"Redeemers College of Technology and Management (RECTEM)
KM 46 Lagos – Ibadan Expressway
Mowe, Ogun State
+234 1  453 6229
+234 808 459 0371
+234 811 767 0767
www.rectem.edu.ng
admin@rectem.edu.ng
registrar@rectem.edu.ng",,,2018
56,"Ronik Polytechnic, Ejigbo,
P.M.B. 21764, Ikeja, Lagos, Lagos State.
ronikpolytechnic@yahoo.com,
www.ronikpolytechnic.org.",,,2001/2003♦
57,"Saf Polytechnic,
P.O. Box 55
Iseyin
Oyo State.",,,2018
58,"Savanah Institute of Technology
Ishieke Junction
Enugu-Abakaliki Expressway
Abakaliki, Ebonyi State
www.savannah.edu.ng",,,2017
59,"Shaka Polytechnic
No1 Prince Shaka Momodu Street, Ogiso, Off M.M. Way, P.M.B. 1240, Benin City, Edo State.",,,2013
60,"Speedway Polytechnic
7/20 Igbehinadun Street
Off Odozi Street
Osoba Ojudu, Ogun State",,,2019
61,"St. Mary Polytechnic, Kwamba,
P.M.B 418, Suleja, Niger State",,,2015
62,"Stars Polytechnic
Ota LGA
Ogun State
info@starspoly.edu.ng
www.starspoly.edu.ng",,,2020
63,"Southern Atlantic Polytechnic
KM 50, Airport Road
Uyo – Akwa Ibom State",,,2020
64,"Sure Foundation Polytechnic, Ikot Akai,
Ukanafun LGA,
Akwa Ibom State
www.sfp.edu.ng",,,2016
65,"Teedek Polytechnic, Ilogbo-Ekiti, Ekiti State",,,2022
66,"Temple Gate Polytechnic, Abayi, Osisioma, P. O. Box 3448, Aba, Abia State.",,,2009
67,"The Polytechnic Aran-Orin
Off Landmark University
Otun-Ekili Road
Aran-Orin, Kwara State",,,2022
68,"The Polytechnic, Igbo-Owu, Kwara State",,,2015
69,"The Polytechnic, Ile Ife,
P.M.B. 009, O.A.U. Ile-Ife, Osun State.",,,1994/1999♦
70,"The Polytechnic Iresi
(Formerly College of Technology, Iresi)
 Osun State",,,2014
71,"The Polytechnic Ojoku
Kwara State",,,2022
72,"The Polytechnic, Omuo-Ekiti
Ekiti State",,,2022
73,"The Polytechnic Otada Adoka,
P.O.Box 280 Otukpo, Benue State
www.thepolytechnicadoka.edu.ng",,,2016
74,"Timeon Kairos Polytechnic Lagos
326 Abeokuta Expressway, Super Cola Bus Stop
Oko Oba via Abule Egba Lagos
08125259754, 08081283332",,,2019
75,"Tower Polytechnic, Ibadan,
136, Liberty Road,
P.O. Box 13039 G.P.O,
Dugbe, Ibadan. towerpol@yahoo.com",,,2010
76,"Trinity Polytechnic Uyo,
Akwa Ibom State",,,2016
77,"Ultra Excellence College of Tech Uyo, Akwa Ibom State",,,2022
78,"United Polytechnic Gamajigo
Off KM 7, Zaria Road
Jos – Plateau State",,,2022
79,"Uma Ukpai Polytechnic,
Asaga Ohafia, Abia State",,,2017
80,"Uyo City Polytechnic, P.M.B. 1067,
Uyo, Akwa Ibom State",,,2014
81,"Valley View Polytechnic, Ohafia
Abia State",,,2016
82,"Villanova Polytechnic, Imesi-Ile
(Formerly The Polytechnic, Imesi-Ile)
Km 2, Imesi-Ile/Igbajo Road, Osun State.",,,2013
83,"West Land Polytechnic
No 31 Opapa Road, Ilobu, Osun State",,,2022
84,"Wolex Polytechnic, Iwo.
1Km. 2, Iwo-Ejigbo Road,
P.O. Box 255, Osun State.
wolexpoju@yahoo.com",,,1996/1999♦
